satz_nr;wort;auto_tag;manual_tag;anmerkung;;;;;;;
8;marriage;NN;NN;;;;;;;;
8;just;RB;RB;;;;;;;;
8;in;IN;IN;;;;;;;;
8;this;DT;DT;;;;;;;;
8;election;NN;NN;;;;;;;;
8;season;NN;NN;;;;;;;;
8;.;.;.;;;;;;;;
;;;;;;;;;;;
10;I;PRP;PRP;;;;;;;;
10;prefer;VBP;VBP;;;;;;;;
10;to;TO;TO;;;;;;;;
10;vote;VB;VB;;;;;;;;
10;for;IN;IN;;;;;;;;
10;people;NNS;NNS;;;;;;;;
10;who;WP;WP;;;;;;;;
10;wo;MD;MD;;;;;;;;
10;nt;RB;RB;;;;;;;;
10;raise;VB;VB;;;;;;;;
10;them;PRP;PRP;;;;;;;;
10;.;.;.;;;;;;;;
;;;;;;;;;;;
11;That;DT;DT;;;;;;;;
11;s;VBZ;VBZ;;;;;;;;
11;cute;JJ;JJ;;;;;;;;
11;lmao;NNP;UH;;x;;;;;;
11;..;.;.;;;;;;;;
11;or;CC;CC;;;;;;;;
11;you;PRP;PRP;;;;;;;;
11;have;VBP;VBP;;;;;;;;
11;to;TO;TO;;;;;;;;
11;just;RB;RB;;;;;;;;
11;drink;VB;VB;;;;;;;;
11;coke;NNP;NNP;;;;;;;;
11;.;.;.;;;;;;;;
;;;;;;;;;;;
12;It;PRP;PRP;;;;;;;;
12;makes;VBZ;VBZ;;;;;;;;
12;the;DT;DT;;;;;;;;
12;price;NN;NN;;;;;;;;
12;of;IN;IN;;;;;;;;
12;imported;VBN;VBN;;;;;;;;
12;goods;NNS;NNS;;;;;;;;
12;equal;JJ;JJ;;;;;;;;
12;to;IN;IN;;;;;;;;
12;or;CC;CC;;;;;;;;
12;more;RBR;RBR;;;;;;;;
12;expensive;JJ;JJ;;;;;;;;
12;than;IN;IN;;;;;;;;
12;American;JJ;JJ;;;;;;;;
12;ones;NNS;NNS;;;;;;;;
12;.;.;.;;;;;;;;
;;;;;;;;;;;
13;The;DT;DT;;;;;;;;
13;man;NN;NN;;;;;;;;
13;fell;VBD;VBD;;;;;;;;
13;apart;RB;RB;;;;;;;;
13;when;WRB;WRB;;;;;;;;
13;pressed;VBN;VBN;;;;;;;;
13;on;IN;IN;;;;;;;;
13;specifics;NNS;NNS;;;;;;;;
13;and;CC;CC;;;;;;;;
13;with;IN;IN;;;;;;;;
13;the;DT;DT;;;;;;;;
13;subtle;JJ;JJ;;;;;;;;
13;pressure;NN;NN;;;;;;;;
13;Clinton;NNP;NNP;;;;;;;;
13;gave;VBD;VBD;;;;;;;;
13;that;WDT;WDT;;;;;;;;
13;got;VBD;VBD;;;;;;;;
13;under;IN;IN;;;;;;;;
13;his;PRP$;PRP$;;;;;;;;
13;skin;NN;NN;;;;;;;;
13;.;.;.;;;;;;;;
;;;;;;;;;;;
14;Trump;NNP;NNP;;;;;;;;
14;only;RB;RB;;;;;;;;
14;kinda;RB;RB;;;;;;;;
14;did;VBD;VBD;;;;;;;;
14;,;,;,;;;;;;;;
14;but;CC;CC;;;;;;;;
14;major;JJ;JJ;;;;;;;;
14;improvement;NN;NN;;;;;;;;
14;from;IN;IN;;;;;;;;
14;the;DT;DT;;;;;;;;
14;primaries;NNS;NNS;;;;;;;;
14;,;,;,;;;;;;;;
14;so;RB;RB;;;;;;;;
14;I;PRP;PRP;;;;;;;;
14;get;VBP;VBP;;;;;;;;
14;the;DT;DT;;;;;;;;
14;impression;NN;NN;;;;;;;;
14;that;IN;IN;;;;;;;;
14;Trump;NNP;NNP;;;;;;;;
14;could;MD;MD;;;;;;;;
14;know;VB;VB;;;;;;;;
14;his;PRP$;PRP$;;;;;;;;
14;shit;NN;NN;;;;;;;;
14;by;IN;IN;;;;;;;;
14;the;DT;DT;;;;;;;;
14;time;NN;NN;;;;;;;;
14;he;PRP;PRP;;;;;;;;
14;actually;RB;RB;;;;;;;;
14;needs;VBZ;VBZ;;;;;;;;
14;to;TO;TO;;;;;;;;
14;.;.;.;;;;;;;;
;;;;;;;;;;;
15;Obama;NNP;NNP;;;;;;;;
15;was;VBD;VBD;;;;;;;;
15;born;VBN;VBN;;;;;;;;
15;in;IN;IN;;;;;;;;
15;the;DT;DT;;;;;;;;
15;United;NNP;NNP;;;;;;;;
15;States;NNP;NNP;;;;;;;;
15;.;.;.;;;;;;;;
;;;;;;;;;;;
16;How;WRB;WRB;;;;;;;;
16;would;MD;MD;;;;;;;;
16;a;DT;DT;;;;;;;;
16;tax;NN;NN;;;;;;;;
16;cut;NN;NN;;;;;;;;
16;help;VB;VB;;;;;;;;
16;him;PRP;PRP;;;;;;;;
16;make;VB;VB;;;;;;;;
16;more;JJR;JJR;;;;;;;;
16;jobs;NNS;NNS;;;;;;;;
16;?;.;.;;;;;;;;
;;;;;;;;;;;
17;I;PRP;PRP;;;;;;;;
17;was;VBD;VBD;;;;;;;;
17;born;VBN;VBN;;;;;;;;
17;in;IN;IN;;;;;;;;
17;and;CC;CC;;;;;;;;
17;grew;VBD;VBD;;;;;;;;
17;up;RP;RP;;;;;;;;
17;in;IN;IN;;;;;;;;
17;a;DT;DT;;;;;;;;
17;third;JJ;JJ;;;;;;;;
17;world;NN;NN;;;;;;;;
17;country;NN;NN;;;;;;;;
17;.;.;.;;;;;;;;
;;;;;;;;;;;
18;I;PRP;PRP;;;;;;;;
18;do;VBP;VBP;;;;;;;;
18;nt;RB;RB;;;;;;;;
18;follow;VB;VB;;;;;;;;
18;him;PRP;PRP;;;;;;;;
18;because;IN;IN;;;;;;;;
18;I;PRP;PRP;;;;;;;;
18;m;VBP;VBP;;;;;;;;
18;not;RB;RB;;;;;;;;
18;a;DT;DT;;;;;;;;
18;Libertarian;NNP;NNP;;;;;;;;
18;and;CC;CC;;;;;;;;
18;he;PRP;PRP;;;;;;;;
18;has;VBZ;VBZ;;;;;;;;
18;0;CD;CD;;;;;;;;
18;chance;NN;NN;;;;;;;;
18;of;IN;IN;;;;;;;;
18;being;VBG;VBG;;;;;;;;
18;elected;VBN;VBN;;;;;;;;
18;.;.;.;;;;;;;;
;;;;;;;;;;;
19;No;DT;DT;;;;;;;;
19;big;JJ;JJ;;;;;;;;
19;surprises;NNS;NNS;;;;;;;;
19;.;.;.;;;;;;;;
;;;;;;;;;;;
20;On;IN;IN;;;;;;;;
20;sexism;NN;NN;;;;;;;;
20;I;PRP;PRP;;;;;;;;
20;kinda;RB;RB;;;;;;;;
20;took;VBD;VBD;;;;;;;;
20;note;NN;NN;;;;;;;;
20;of;IN;IN;;;;;;;;
20;something;NN;NN;;;;;;;;
20;that;WDT;WDT;;;;;;;;
20;Clinton;NNP;NNP;;;;;;;;
20;said;VBD;VBD;;;;;;;;
20;as;IN;IN;;;;;;;;
20;if;IN;IN;;;;;;;;
20;it;PRP;PRP;;;;;;;;
20;was;VBD;VBD;;;;;;;;
20;a;DT;DT;;;;;;;;
20;bad;JJ;JJ;;;;;;;;
20;thing;NN;NN;;;;;;;;
20;.;.;.;;;;;;;;
;;;;;;;;;;;
21;Not;RB;RB;;;;;;;;
21;saying;VBG;VBG;;;;;;;;
21;you;PRP;PRP;;;;;;;;
21;re;VBP;VBP;;;;;;;;
21;proud;JJ;JJ;;;;;;;;
21;that;IN;IN;;;;;;;;
21;you;PRP;PRP;;;;;;;;
21;managed;VBD;VBD;;;;;;;;
21;to;TO;TO;;;;;;;;
21;get;VB;VB;;;;;;;;
21;Obamas;NNP;NNP;;;;;;;;
21;birth;NN;NN;;;;;;;;
21;certificate;NN;NN;;;;;;;;
21;.;.;.;;;;;;;;
;;;;;;;;;;;
22;People;NNS;NNS;;;;;;;;
22;who;WP;WP;;;;;;;;
22;dislike;VBP;VBP;;;;;;;;
22;the;DT;DT;;;;;;;;
22;fact;NN;NN;;;;;;;;
22;that;IN;IN;;;;;;;;
22;she;PRP;PRP;;;;;;;;
22;did;VBD;VBD;;;;;;;;
22;nt;RB;RB;;;;;;;;
22;answer;VB;VB;;;;;;;;
22;the;DT;DT;;;;;;;;
22;question;NN;NN;;;;;;;;
22;are;VBP;VBP;;;;;;;;
22;likely;RB;RB;;;;;;;;
22;already;RB;RB;;;;;;;;
22;inclined;VBN;VBN;;;;;;;;
22;not;RB;RB;;;;;;;;
22;to;TO;TO;;;;;;;;
22;vote;VB;VB;;;;;;;;
22;for;IN;IN;;;;;;;;
22;her;PRP$;PRP$;;;;;;;;
22;candidate;NN;NN;;;;;;;;
22;,;,;,;;;;;;;;
22;and;CC;CC;;;;;;;;
22;its;PRP$;PRP$;tokenization error;;;;;;;
22;not;RB;RB;;;;;;;;
22;like;IN;IN;;;;;;;;
22;anyone;NN;NN;;;;;;;;
22;will;MD;MD;;;;;;;;
22;stop;VB;VB;;;;;;;;
22;asking;VBG;VBG;;;;;;;;
22;her;PRP;PRP;;;;;;;;
22;for;IN;IN;;;;;;;;
22;interviews;NNS;NNS;;;;;;;;
22;just;RB;RB;;;;;;;;
22;because;IN;IN;;;;;;;;
22;she;PRP;PRP;;;;;;;;
22;dodges;VBZ;VBZ;;;;;;;;
22;everything;NN;NN;;;;;;;;
22;.;.;.;;;;;;;;
;;;;;;;;;;;
23;The;DT;DT;;;;;;;;
23;US;NNP;NNP;;;;;;;;
23;has;VBZ;VBZ;;;;;;;;
23;a;DT;DT;;;;;;;;
23;giant;JJ;JJ;;;;;;;;
23;trade;NN;NN;;;;;;;;
23;deficit;NN;NN;;;;;;;;
23;hmmmmm;NNP;UH;;x;;;;;;
23;...;:;;;;;;;;;
;;;;;;;;;;;
24;Do;VBP;VBP;;;;;;;;
24;you;PRP;PRP;;;;;;;;
24;want;VB;VB;;;;;;;;
24;credit;NN;NN;;;;;;;;
24;for;IN;IN;;;;;;;;
24;not;RB;RB;;;;;;;;
24;insulting;VBG;VBG;;;;;;;;
24;her;PRP$;PRP$;;;;;;;;
24;family;NN;NN;;;;;;;;
24;?;.;.;;;;;;;;
;;;;;;;;;;;
25;Yeah;UH;UH;;;;;;;;
25;,;,;.;;;;;;;;
;;;;;;;;;;;
26;This;DT;DT;;;;;;;;
26;sounds;VBZ;VBZ;;;;;;;;
26;ridiculous;JJ;JJ;;;;;;;;
;;;;;;;;;;;
27;I;PRP;PRP;;;;;;;;
27;should;MD;MD;;;;;;;;
27;be;VB;VB;;;;;;;;
27;congratulated;VBN;VBN;;;;;;;;
27;for;IN;IN;;;;;;;;
27;not;RB;RB;;;;;;;;
27;illegally;RB;RB;;;;;;;;
27;racially;RB;RB;;;;;;;;
27;discriminating;VBG;VBG;;;;;;;;
27;at;IN;IN;;;;;;;;
27;one;CD;CD;;;;;;;;
27;of;IN;IN;;;;;;;;
27;my;PRP$;PRP$;;;;;;;;
27;properties;NNS;NNS;;;;;;;;
27;.;.;.;;;;;;;;
;;;;;;;;;;;
28;That;DT;DT;;;;;;;;
28;impression;NN;NN;;;;;;;;
28;might;MD;MD;;;;;;;;
28;not;RB;RB;;;;;;;;
28;be;VB;VB;;;;;;;;
28;fair;JJ;JJ;;;;;;;;
28;because;IN;IN;;;;;;;;
28;by;IN;IN;;;;;;;;
28;any;DT;IN;;;;;;;;
28;objective;JJ;JJ;;;;;;;;
28;standard;NN;NN;;;;;;;;
28;it;PRP;PRP;;;;;;;;
28;was;VBD;VBD;;;;;;;;
28;empty;JJ;JJ;;;;;;;;
28;and;CC;CC;;;;;;;;
28;mediocre;JJ;JJ;;;;;;;;
28;political;JJ;JJ;;;;;;;;
28;speech;NN;NN;;;;;;;;
28;that;WDT;WDT;;;;;;;;
28;we;PRP;PRP;;;;;;;;
28;ve;VBP;VBP;;;;;;;;
28;seen;VBN;VBN;;;;;;;;
28;a;DT;DT;;;;;;;;
28;million;CD;CD;;;;;;;;
28;times;NNS;NNS;;;;;;;;
28;before;RB;RB;;;;;;;;
28;.;.;.;;;;;;;;
;;;;;;;;;;;
29;If;IN;IN;;;;;;;;
29;this;DT;DT;;;;;;;;
29;was;VBD;VBD;;;;;;;;
29;Romney;NNP;NNP;;;;;;;;
29;v.;IN;IN;;;;;;;;
29;Clinton;NNP;NNP;;;;;;;;
29;this;DT;DT;;;;;;;;
29;entire;JJ;JJ;;;;;;;;
29;election;NN;NN;;;;;;;;
29;would;MD;MD;;;;;;;;
29;be;VB;VB;;;;;;;;
29;pretty;RB;RB;;;;;;;;
29;standard;JJ;JJ;;;;;;;;
29;.;.;.;;;;;;;;
;;;;;;;;;;;
30;Regardless;RB;RB;;;;;;;;
30;if;IN;IN;;;;;;;;
30;an;DT;DT;;;;;;;;
30;imported;VBN;VBN;;;;;;;;
30;good;NN;NN;;;;;;;;
30;is;VBZ;VBZ;;;;;;;;
30;made;VBN;VBN;;;;;;;;
30;by;IN;IN;;;;;;;;
30;an;DT;DT;;;;;;;;
30;American;JJ;JJ;;;;;;;;
30;manufacturer;NN;NN;;;;;;;;
30;or;CC;CC;;;;;;;;
30;not;RB;RB;;;;;;;;
30;under;IN;IN;;;;;;;;
30;the;DT;DT;;;;;;;;
30;old;JJ;JJ;;;;;;;;
30;system;NN;NN;;;;;;;;
30;it;PRP;PRP;;;;;;;;
30;would;MD;MD;;;;;;;;
30;be;VB;VB;;;;;;;;
30;tariffed;VBN;VBN;;;;;;;;
30;.;.;.;;;;;;;;
;;;;;;;;;;;
31;Maybe;RB;RB;;;;;;;;
31;.;.;.;;;;;;;;
;;;;;;;;;;;
32;After;IN;IN;;;;;;;;
32;WW2;NNP;NNP;;;;;;;;
32;we;PRP;PRP;;;;;;;;
32;let;VBD;VBD;;;;;;;;
32;Japan;NNP;NNP;;;;;;;;
32;import;VB;VB;;;;;;;;
32;goods;NNS;NNS;;;;;;;;
32;without;IN;IN;;;;;;;;
32;tariffs;NNS;NNS;;;;;;;;
32;to;TO;TO;;;;;;;;
32;rebuild;VB;VB;;;;;;;;
32;their;PRP$;PRP$;;;;;;;;
32;country;NN;NN;;;;;;;;
32;.;.;.;;;;;;;;
;;;;;;;;;;;
33;He;PRP;PRP;;;;;;;;
33;was;VBD;VBD;;;;;;;;
33;all;RB;RB;;;;;;;;
33;over;IN;IN;;;;;;;;
33;the;DT;DT;;;;;;;;
33;place;NN;NN;;;;;;;;
33;.;.;.;;;;;;;;
;;;;;;;;;;;
34;Why;WRB;WRB;;;;;;;;
34;would;MD;MD;;;;;;;;
34;this;DT;DT;;;;;;;;
34;change;VB;VB;;;;;;;;
34;any;DT;DT;;;;;;;;
34;of;IN;IN;;;;;;;;
34;that;DT;DT;;;;;;;;
34;?;.;.;;;;;;;;
;;;;;;;;;;;
35;His;PRP$;PRP$;;;;;;;;
35;answers;NNS;NNS;;;;;;;;
35;were;VBD;VBD;;;;;;;;
35;counterproductive;JJ;JJ;;;;;;;;
35;for;IN;IN;;;;;;;;
35;his;PRP$;PRP$;;;;;;;;
35;campaigns;NNS;NNS;;;;;;;;
35;minority;NN;NN;;;;;;;;
35;voter;NN;NN;;;;;;;;
35;outreach;NN;NN;;;;;;;;
35;as;RB;RB;;;;;;;;
35;well;RB;RB;;;;;;;;
35;,;,;,;;;;;;;;
35;particularly;RB;RB;;;;;;;;
35;his;PRP$;PRP$;;;;;;;;
35;defence;NN;NN;;;;;;;;
35;of;IN;IN;;;;;;;;
35;stop;NN;NN;;;;;;;;
35;and;CC;CC;;;;;;;;
35;frisk;NN;NN;;;;;;;;
35;.;.;.;;;;;;;;
;;;;;;;;;;;
36;Well;UH;UH;;;;;;;;
36;,;,;,;;;;;;;;
36;Los;NNP;NNP;;;;;;;;
36;Rios;NNP;NNP;;;;;;;;
36;econ;NN;NN;;;;;;;;
36;courses;NNS;NNS;;;;;;;;
36;in;IN;IN;;;;;;;;
36;California;NNP;NNP;;;;;;;;
36;and;CC;CC;;;;;;;;
36;I;PRP;PRP;;;;;;;;
36;think;VBP;VBP;;;;;;;;
36;my;PRP$;PRP$;;;;;;;;
36;high;JJ;JJ;;erkennt lexikalische komposita nicht;;;;;;
36;school;NN;NN;;;;;;;;
36;including;VBG;VBG;;;;;;;;
36;micro;NNP;NNP;;;;;;;;
36;and;CC;CC;;;;;;;;
36;macro;NN;NNP;;;;;;;;
36;were;VBD;VBD;;;;;;;;
36;largely;RB;RB;;;;;;;;
36;saying;VBG;VBG;;;;;;;;
36;taxes;NNS;NNS;;;;;;;;
36;were;VBD;VBD;;;;;;;;
36;a;DT;DT;;;;;;;;
36;bad;JJ;JJ;;;;;;;;
36;thing;NN;NN;;;;;;;;
36;because;IN;IN;;;;;;;;
36;it;PRP;PRP;;;;;;;;
36;creates;VBZ;VBZ;;;;;;;;
36;artificial;JJ;JJ;;;;;;;;
36;spending;NN;NN;;;;;;;;
36;and;CC;CC;;;;;;;;
36;waste;NN;NN;;;;;;;;
36;or;CC;CC;;;;;;;;
36;whatever;WP;WP;;;;;;;;
36;.;.;.;;;;;;;;
;;;;;;;;;;;
37;A;DT;DT;;;;;;;;
37;Bernie;NNP;NNP;;;;;;;;
37;supporter;NN;NN;;;;;;;;
37;supports;VBZ;VBZ;;;;;;;;
37;modern;JJ;JJ;;;;;;;;
37;liberalism;NN;NN;;;;;;;;
37;.;.;.;;;;;;;;
;;;;;;;;;;;
38;Who;WP;WP;;;;;;;;
38;are;VBP;VBP;;;;;;;;
38;these;DT;DT;;;;;;;;
38;ppl;NN;NNS;;x;;;;;;
38;on;IN;IN;;;;;;;;
38;CNN;NNP;NNP;;;;;;;;
38;panel;NN;NN;;;;;;;;
38;right;RB;RB;;;;;;;;
38;now;RB;RB;;;;;;;;
38;?;.;.;;;;;;;;
;;;;;;;;;;;
39;Tariffs;NNS;NNS;;;;;;;;
39;are;VBP;VBP;;;;;;;;
39;terrible;JJ;JJ;;;;;;;;
39;economically;RB;RB;;;;;;;;
39;.;.;.;;;;;;;;
